"","id","mb06","mb01","au01","au01_desc","ta01","ta01_desc","rc01","rc01_desc","lma58_91","lma140_91","lma140_91_desc","geo_coding_quality","property_type","totalbeds","doublebeds","singlebeds","prop_cnstr_date","latest_prop_status","previous_prop_status","lastest_change_date","lastest_change_year","lastest_change_month","takeover_date","takeover_year","takeover_month","property_status","property_sold","property_current","property_destroyed","settled_date","settled_year","settled_month","sales_data_missing","sale_type","sale_price","auckland_takeover","community_sales","destroyed_date"
"74921",164009,2630600,2630600,595300,"Hillmorton",60,"Christchurch City",13,"Canterbury Region",48,109,"Christchurch","Reliably coded through CRS, or obtained via google API and verified","Single Unit",3,3,0,1969,"Deleted","Let Sale Reg","29sep1999",1999,9,"01mar1986",1986,3,"Sold",1,0,0,"27sep1999",1999,9,0,"Homebuy Sale",107400,0,0,""
"34339",184532,820100,820100,525910,"Pukekohe North",10,"Franklin District",2,"Auckland Region",8,17,"Pukekohe","Provided by HNZC","Single Unit",5,5,0,2006,"","","",NA,NA,"12jan2007",2007,1,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"7393",180743,374000,374000,514500,"New Windsor",7,"Auckland City",2,"Auckland Region",7,13,"Central Auckland","Provided by HNZC","Multi Unit",1,1,0,1967,"","","",NA,NA,"28feb2003",2003,2,"Current",0,1,0,"",NA,NA,0,"",NA,1,0,""
"58047",144276,1955900,1955900,568302,"Naenae North",46,"Lower Hutt City",9,"Wellington Region",39,88,"Wellington","Provided by HNZC","Single Unit",2,2,0,1945,"","","",NA,NA,"14may1945",1945,5,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"29026",104805,748900,748900,524301,"Mangere East",8,"Manukau City",2,"Auckland Region",8,15,"Manukau","Provided by HNZC","Complex",2,2,0,1991,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"17053",108420,577600,577600,518802,"Wesley",7,"Auckland City",2,"Auckland Region",7,13,"Central Auckland","Reliably coded through CRS, or obtained via google API and verified","Double Unit",2,1,1,1948,"Deleted","Vac Pend Set","23jan1999",1999,1,"01mar1986",1986,3,"Sold",1,0,0,"20jan1999",1999,1,0,"Vacant Sale",156000,0,0,""
"70423",175471,2495403,2495403,587812,"Broomfield",60,"Christchurch City",13,"Canterbury Region",48,109,"Christchurch","Provided by HNZC","Single Unit",3,3,0,1981,"","","",NA,NA,"16aug2004",2004,8,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"18056",180996,585300,585300,518901,"Lynfield North",7,"Auckland City",2,"Auckland Region",7,13,"Central Auckland","Reliably coded through CRS, or obtained via google API and verified","Multi Unit",0,0,0,1968,"Deleted","Vac Pend Dev","05mar2005",2005,3,"25jan2005",2005,1,"Sold",1,0,0,"04mar2005",2005,3,0,"Vacant Sale",1,0,0,""
"62850",147118,2055700,2055700,570900,"Porirua East",44,"Porirua City",9,"Wellington Region",40,88,"Wellington","Reliably coded through CRS, or obtained via google API and verified","Single Unit",2,2,0,1954,"Deleted","Let Sale Reg","03dec1999",1999,12,"27apr1954",1954,4,"Sold",1,0,0,"01dec1999",1999,12,0,"Homebuy Sale",75500,0,0,""
"9168",172481,393300,393300,515001,"Point Chevalier West",7,"Auckland City",2,"Auckland Region",7,13,"Central Auckland","Reliably coded through CRS, or obtained via google API and verified","Single Unit",4,2,2,1940,"Deleted","Vac Pend Set","27jun2008",2008,6,"25mar1997",1997,3,"Sold",1,0,0,"25jun2008",2008,6,0,"Vacant Sale",620000,0,0,""
"8631",141198,387001,387001,514802,"Avondale West",7,"Auckland City",2,"Auckland Region",7,13,"Central Auckland","Provided by HNZC","Complex",3,3,0,1990,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"66189",142191,2214600,2214600,577100,"Strathmore Park",47,"Wellington City",9,"Wellington Region",40,88,"Wellington","Provided by HNZC","Double Unit",1,1,0,1939,"","","",NA,NA,"09mar1939",1939,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"45405",137309,1434700,1434700,546600,"Marewa",31,"Napier City",6,"Hawke's Bay Region",26,60,"Napier","Provided by HNZC","Multi Unit",1,1,0,1954,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"20708",109458,630600,630600,520601,"Tamaki",7,"Auckland City",2,"Auckland Region",8,15,"Manukau","Provided by HNZC","Single Unit",4,3,1,1952,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"52386",154905,1782100,1782100,561700,"Foxton",42,"Horowhenua District",8,"Manawatu-Wanganui Region",35,85,"Foxton","Provided by HNZC","Single Unit",3,3,0,1974,"","","",NA,NA,"16sep1974",1974,9,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"69011",158644,2404400,2404400,585110,"Cobden",56,"Grey District",12,"West Coast Region",47,103,"Grey","Provided by HNZC","Single Unit",3,3,0,1979,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"57694",143469,1952100,1952100,568502,"Epuni East",46,"Lower Hutt City",9,"Wellington Region",39,88,"Wellington","Provided by HNZC","Multi Unit",2,2,0,1944,"","","",NA,NA,"07dec1944",1944,12,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"30228",174960,773801,773801,524810,"Weymouth",8,"Manukau City",2,"Auckland Region",8,15,"Manukau","Provided by HNZC","Double Unit",5,3,2,2005,"","","",NA,NA,"06oct2005",2005,10,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"50275",133625,1641100,1641100,554010,"Hawera North",35,"South Taranaki District",7,"Taranaki Region",30,68,"Hawera","Provided by HNZC","Double Unit",3,2,1,1971,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"17365",180772,579800,579800,518802,"Wesley",7,"Auckland City",2,"Auckland Region",7,13,"Central Auckland","Provided by HNZC","Multi Unit",1,1,0,1995,"","","",NA,NA,"28feb2003",2003,2,"Current",0,1,0,"",NA,NA,0,"",NA,1,0,""
"31074",178186,774602,774602,524711,"Burbank",8,"Manukau City",2,"Auckland Region",8,15,"Manukau","Provided by HNZC","Single Unit",3,2,1,1974,"","","",NA,NA,"17oct1995",1995,10,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"11187",112087,467200,467200,516900,"Glen Innes North",7,"Auckland City",2,"Auckland Region",8,13,"Central Auckland","Reliably coded through CRS, or obtained via google API and verified","Multi Unit",3,3,0,1960,"Deleted","Vac Pend Set","20may1999",1999,5,"01mar1986",1986,3,"Sold",1,0,0,"18may1999",1999,5,0,"Vacant Sale",63546,0,0,""
"26699",116792,733100,733100,524530,"Harania East",8,"Manukau City",2,"Auckland Region",8,15,"Manukau","Provided by HNZC","Single Unit",3,3,0,1972,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"6736",124136,350800,350800,510220,"Birkdale South",5,"North Shore City",2,"Auckland Region",7,13,"Central Auckland","Provided by HNZC","Complex",2,2,0,1987,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"45481",105812,1435300,1435300,546600,"Marewa",31,"Napier City",6,"Hawke's Bay Region",26,60,"Napier","Provided by HNZC","Single Unit",2,2,0,1992,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"22450",180044,669602,669602,522302,"Papatoetoe East",8,"Manukau City",2,"Auckland Region",8,15,"Manukau","Provided by HNZC","Single Unit",3,2,1,1995,"","","",NA,NA,"19oct2001",2001,10,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"46442",138226,1447100,1447100,546700,"Maraenui",31,"Napier City",6,"Hawke's Bay Region",26,60,"Napier","Provided by HNZC","Multi Unit",1,1,0,1961,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"67050",156192,2242400,2242400,578800,"Masterton East",48,"Masterton District",9,"Wellington Region",41,90,"Masterton","Reliably coded through CRS, or obtained via google API and verified","Single Unit",4,4,0,1975,"Deleted","Vac Und Sale","21feb1997",1997,2,"01mar1986",1986,3,"Sold",1,0,0,"14feb1997",1997,2,0,"Vacant Sale",53000,0,0,""
"10345",110143,430100,430100,515302,"Ponsonby East",7,"Auckland City",2,"Auckland Region",7,13,"Central Auckland","Provided by HNZC","Complex",1,1,0,1953,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"16464",179057,568900,568900,518701,"Hillsborough West",7,"Auckland City",2,"Auckland Region",7,15,"Manukau","Reliably coded through CRS, or obtained via google API and verified","Single Unit",3,2,1,1978,"Deleted","Destroyd Unt","13nov2008",2008,11,"10aug2000",2000,8,"Destroyed",0,0,1,"",NA,NA,0,"",NA,0,0,"13nov2008"
"18805",112964,599300,599300,519820,"Onehunga South East",7,"Auckland City",2,"Auckland Region",8,15,"Manukau","Provided by HNZC","Star Flat",2,2,0,1962,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"76199",175854,2694000,2694000,592600,"Edgeware",60,"Christchurch City",13,"Canterbury Region",48,109,"Christchurch","Provided by HNZC","Multi Unit",1,1,0,2009,"","","",NA,NA,"30jun2009",2009,6,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"47797",137085,1486100,1486100,547700,"St Leonards",30,"Hastings District",6,"Hawke's Bay Region",25,59,"Hastings","Provided by HNZC","Single Unit",3,3,0,1950,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"3029",119409,224215,224215,513521,"West Harbour",6,"Waitakere City",2,"Auckland Region",7,13,"Central Auckland","Provided by HNZC","Double Unit",2,1,1,1977,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"55466",155224,1913801,1913801,566700,"Maoribank",45,"Upper Hutt City",9,"Wellington Region",39,88,"Wellington","Provided by HNZC","Single Unit",3,3,0,1975,"","","",NA,NA,"03dec1975",1975,12,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"67769",158706,2312400,2312400,581400,"Kaikoura Township",54,"Kaikoura District",13,"Canterbury Region",46,100,"Kaikoura","Provided by HNZC","Single Unit",3,3,0,1963,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"60288",155044,2021500,2021500,565200,"Homedale West",46,"Lower Hutt City",9,"Wellington Region",39,88,"Wellington","Provided by HNZC","Single Unit",3,3,0,1976,"","","",NA,NA,"12mar1976",1976,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"46604",139489,1453400,1453400,547002,"Tamatea South",31,"Napier City",6,"Hawke's Bay Region",26,60,"Napier","Provided by HNZC","Single Unit",3,3,0,1975,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"5178",120784,269200,269200,511300,"New Lynn North",6,"Waitakere City",2,"Auckland Region",7,13,"Central Auckland","Provided by HNZC","Single Unit",2,2,0,1982,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"60655",155653,2033000,2033000,569900,"Petone Central",46,"Lower Hutt City",9,"Wellington Region",39,88,"Wellington","Reliably coded through CRS, or obtained via google API and verified","Multi Unit",3,2,1,1978,"Deleted","Vac Homebuy","19dec1996",1996,12,"24oct1978",1978,10,"Sold",1,0,0,"30oct1996",1996,10,0,"Homebuy Sale",68000,0,0,""
"78439",166644,2887200,2887200,603910,"Wakari",71,"Dunedin City",14,"Otago Region",55,127,"Dunedin","Reliably coded through CRS, or obtained via google API and verified","Double Unit",1,1,0,1939,"Deleted","Vac Und Sale","17nov2006",2006,11,"23mar1939",1939,3,"Sold",1,0,0,"16nov2006",2006,11,0,"Vacant Sale",121100,0,0,""
"15745",101943,559500,559500,518302,"Mt Eden South",7,"Auckland City",2,"Auckland Region",7,13,"Central Auckland","Reliably coded through CRS, or obtained via google API and verified","Single Unit",2,2,0,1939,"Deleted","Vac Pend Set","16dec1995",1995,12,"01mar1986",1986,3,"Sold",1,0,0,"14dec1995",1995,12,0,"Vacant Sale",256000,0,0,""
"58584",147353,1959600,1959600,568302,"Naenae North",46,"Lower Hutt City",9,"Wellington Region",39,88,"Wellington","Provided by HNZC","Single Unit",3,2,1,1953,"","","",NA,NA,"04dec1953",1953,12,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"80561",171708,3133300,3133300,611002,"Hawthorndale",75,"Invercargill City",15,"Southland Region",58,140,"Invercargill","Reliably coded through CRS, or obtained via google API and verified","Duplex Unit",2,2,0,1961,"Deleted","Vac Und Sale","15jul1998",1998,7,"01mar1986",1986,3,"Sold",1,0,0,"13jul1998",1998,7,0,"Vacant Sale",7174,0,0,""
"73620",175326,2592000,2592000,594010,"Woolston West",60,"Christchurch City",13,"Canterbury Region",48,109,"Christchurch","Provided by HNZC","Single Unit",3,2,1,1985,"","","",NA,NA,"04oct2002",2002,10,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"65127",149578,2128900,2128900,573000,"Lambton",47,"Wellington City",9,"Wellington Region",40,88,"Wellington","Provided by HNZC","Multi Storey",2,2,0,1959,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"17853",182407,582700,582700,518803,"Akarana",7,"Auckland City",2,"Auckland Region",7,13,"Central Auckland","Provided by HNZC","Complex",2,2,0,2003,"","","",NA,NA,"25feb2005",2005,2,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"77628",168174,2847900,2847900,601010,"Oamaru North",68,"Waitaki District",14,"Otago Region",52,120,"Oamaru","Reliably coded through CRS, or obtained via google API and verified","Single Unit",3,2,1,1959,"Deleted","Vac Pend Set","19dec1998",1998,12,"01mar1986",1986,3,"Sold",1,0,0,"18dec1998",1998,12,0,"Vacant Sale",28500,0,0,""
"30467",123174,NA,774302,524810,"Weymouth",8,"Manukau City",2,"Auckland Region",8,15,"Manukau","Provided by HNZC","Single Unit",2,1,1,1986,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"26061",179981,728800,728800,524200,"Mangere South",8,"Manukau City",2,"Auckland Region",8,15,"Manukau","Provided by HNZC","Single Unit",4,4,0,2001,"","","",NA,NA,"10aug2001",2001,8,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"72287",101374,2566400,2566400,593700,"East Linwood",60,"Christchurch City",13,"Canterbury Region",48,109,"Christchurch","Provided by HNZC","Single Unit",3,2,1,1981,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"66297",143518,2215100,2215100,577100,"Strathmore Park",47,"Wellington City",9,"Wellington Region",40,88,"Wellington","Provided by HNZC","Double Unit",2,2,0,1945,"","","",NA,NA,"05nov1945",1945,11,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"74752",159925,2615200,2615200,593400,"Avonside",60,"Christchurch City",13,"Canterbury Region",48,109,"Christchurch","Provided by HNZC","Single Unit",2,2,0,1943,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"80543",171621,3133100,3133100,611002,"Hawthorndale",75,"Invercargill City",15,"Southland Region",58,140,"Invercargill","Provided by HNZC","Multi Unit",4,1,3,1959,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"462",136120,NA,40700,501700,"Kaikohe",1,"Far North District",1,"Northland Region",3,7,"Kaikohe","Provided by HNZC","Single Unit",2,2,0,1990,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"70316",169505,2495101,2495101,587812,"Broomfield",60,"Christchurch City",13,"Canterbury Region",48,109,"Christchurch","Provided by HNZC","Double Unit",2,2,0,1988,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"21162",109275,633600,633600,520601,"Tamaki",7,"Auckland City",2,"Auckland Region",8,15,"Manukau","Provided by HNZC","Double Unit",2,2,0,1950,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"43670",135105,1368300,1368300,544300,"Te Hapara",28,"Gisborne District",5,"Gisborne Region",24,56,"Gisborne","Provided by HNZC","Multi Unit",1,1,0,1953,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"57887",145919,1954700,1954700,568302,"Naenae North",46,"Lower Hutt City",9,"Wellington Region",39,88,"Wellington","Provided by HNZC","Single Unit",4,3,1,1949,"","","",NA,NA,"30jun1949",1949,6,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"75410",159013,2644200,2644200,595000,"Spreydon",60,"Christchurch City",13,"Canterbury Region",48,109,"Christchurch","Reliably coded through CRS, or obtained via google API and verified","Single Unit",3,3,0,1927,"Deleted","Vac Und Sale","20jun1995",1995,6,"01mar1986",1986,3,"Sold",1,0,0,"19jun1995",1995,6,0,"Vacant Sale",97500,0,0,""
"50585",146785,1675500,1675500,555100,"Raetihi",36,"Ruapehu District",8,"Manawatu-Wanganui Region",32,74,"Tangiwai","Reliably coded through CRS, or obtained via google API and verified","Single Unit",3,3,0,1951,"Deleted","Vac Pend Set","26mar1999",1999,3,"01mar1986",1986,3,"Sold",1,0,0,"19mar1999",1999,3,0,"Vacant Sale",27500,0,0,""
"57882",146133,1954700,1954700,568302,"Naenae North",46,"Lower Hutt City",9,"Wellington Region",39,88,"Wellington","Provided by HNZC","Single Unit",3,2,1,1949,"","","",NA,NA,"30jun1949",1949,6,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"15212",132718,534500,534500,517600,"St Lukes",7,"Auckland City",2,"Auckland Region",7,13,"Central Auckland","Reliably coded through CRS, or obtained via google API and verified","Double Unit",1,1,0,1945,"Deleted","Vac Pend Set","13sep1997",1997,9,"01mar1986",1986,3,"Sold",1,0,0,"11sep1997",1997,9,0,"Vacant Sale",171000,0,0,""
"14015",103629,498000,498000,516400,"Orakei North",7,"Auckland City",2,"Auckland Region",7,13,"Central Auckland","Reliably coded through CRS, or obtained via google API and verified","Single Unit",4,3,1,1941,"Deleted","Vac Und Sale","19jun1996",1996,6,"01mar1986",1986,3,"Sold",1,0,0,"07jun1996",1996,6,0,"Vacant Sale",88235,0,0,""
"19846",120303,607300,607300,520000,"Te Papapa",7,"Auckland City",2,"Auckland Region",8,15,"Manukau","Provided by HNZC","Single Unit",3,3,0,1980,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"13311",109127,478300,478300,517100,"Point England",7,"Auckland City",2,"Auckland Region",8,15,"Manukau","Provided by HNZC","Double Unit",2,1,1,1952,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"14703",107887,518800,518800,517902,"Owairaka West",7,"Auckland City",2,"Auckland Region",7,13,"Central Auckland","Provided by HNZC","Double Unit",2,2,0,1947,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"56554",170593,1939100,1939100,568202,"Taita South",46,"Lower Hutt City",9,"Wellington Region",39,88,"Wellington","Provided by HNZC","Single Unit",2,2,0,1988,"","","",NA,NA,"21feb1989",1989,2,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"69579",159476,2471400,2471400,590700,"Riccarton West",60,"Christchurch City",13,"Canterbury Region",48,109,"Christchurch","Reliably coded through CRS, or obtained via google API and verified","Single Unit",2,1,1,1941,"Deleted","Vac Homebuy","25mar1999",1999,3,"01mar1986",1986,3,"Sold",1,0,0,"23mar1999",1999,3,0,"Homebuy Sale",110000,0,0,""
"33690",166534,NA,800302,525700,"Red Hill",9,"Papakura District",2,"Auckland Region",8,15,"Manukau","Provided by HNZC","Single Unit",3,3,0,1977,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"28847",106002,745900,745900,524302,"Aorere",8,"Manukau City",2,"Auckland Region",8,15,"Manukau","Provided by HNZC","Single Unit",3,2,1,1972,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"11536",111117,471300,471300,517001,"Glen Innes West",7,"Auckland City",2,"Auckland Region",8,15,"Manukau","Provided by HNZC","Single Unit",3,3,0,1955,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"71789",175653,2526700,2526700,588500,"Kaimahi",60,"Christchurch City",13,"Canterbury Region",48,109,"Christchurch","Provided by HNZC","Double Unit",2,2,0,1976,"","","",NA,NA,"10jul2006",2006,7,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"23017",113434,697700,697700,523402,"Otara West",8,"Manukau City",2,"Auckland Region",8,15,"Manukau","Provided by HNZC","Multi Unit",3,2,1,1961,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"14315",103738,500100,500100,516400,"Orakei North",7,"Auckland City",2,"Auckland Region",7,13,"Central Auckland","Provided by HNZC","Double Unit",2,2,0,1941,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"62562",151397,2050600,2050600,571200,"Cannons Creek South",44,"Porirua City",9,"Wellington Region",40,88,"Wellington","Provided by HNZC","Single Unit",2,2,0,1962,"","","",NA,NA,"29nov1962",1962,11,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"73374",159947,2584800,2584800,594300,"Opawa",60,"Christchurch City",13,"Canterbury Region",48,109,"Christchurch","Reliably coded through CRS, or obtained via google API and verified","Double Unit",2,2,0,1945,"Deleted","Vac Und Sale","01aug1995",1995,8,"01mar1986",1986,3,"Sold",1,0,0,"31jul1995",1995,7,0,"Vacant Sale",65500,0,0,""
"19000",117742,600400,600400,519820,"Onehunga South East",7,"Auckland City",2,"Auckland Region",8,15,"Manukau","Provided by HNZC","Complex",1,1,0,1975,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"39048",136641,1049500,1049500,533501,"Moanataiari",11,"Thames-Coromandel District",3,"Waikato Region",9,21,"Thames","Reliably coded through CRS, or obtained via google API and verified","Single Unit",2,2,0,1945,"Deleted","Vac Pend Set","10aug1999",1999,8,"01mar1986",1986,3,"Sold",1,0,0,"06aug1999",1999,8,0,"Vacant Sale",112000,0,0,""
"11100",112754,466700,466700,516900,"Glen Innes North",7,"Auckland City",2,"Auckland Region",8,13,"Central Auckland","Provided by HNZC","Double Unit",3,3,0,1960,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"15464",102554,538800,538800,517703,"Sandringham East",7,"Auckland City",2,"Auckland Region",7,13,"Central Auckland","Provided by HNZC","Single Unit",4,4,0,1939,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"54287",143495,1847100,1847100,562600,"Terrace End",40,"Palmerston North City",8,"Manawatu-Wanganui Region",35,81,"Palmerston North","Provided by HNZC","Single Unit",2,2,0,1942,"","","",NA,NA,"12feb1942",1942,2,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"64455",156016,2066200,2066200,571800,"Pukerua Bay",44,"Porirua City",9,"Wellington Region",40,88,"Wellington","Reliably coded through CRS, or obtained via google API and verified","Single Unit",3,2,1,1952,"Deleted","Vac Und Sale","07oct1995",1995,10,"01nov1983",1983,11,"Sold",1,0,0,"06oct1995",1995,10,0,"Vacant Sale",75000,0,0,""
"3848",178509,234300,234300,513301,"Kingdale",6,"Waitakere City",2,"Auckland Region",7,13,"Central Auckland","Provided by HNZC","Single Unit",3,1,2,1997,"","","",NA,NA,"06dec1997",1997,12,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"7011",114886,364800,364800,509702,"Tuff Crater",5,"North Shore City",2,"Auckland Region",7,13,"Central Auckland","Provided by HNZC","Multi Unit",1,0,1,1966,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"34105",119115,NA,804900,525530,"Rosehill",9,"Papakura District",2,"Auckland Region",8,15,"Manukau","Provided by HNZC","Single Unit",3,3,0,1977,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"9195",107273,393800,393800,515001,"Point Chevalier West",7,"Auckland City",2,"Auckland Region",7,13,"Central Auckland","Reliably coded through CRS, or obtained via google API and verified","Single Unit",2,2,0,1946,"Deleted","Vac Pend Set","19nov1998",1998,11,"01mar1986",1986,3,"Sold",1,0,0,"16nov1998",1998,11,0,"Vacant Sale",230000,0,0,""
"60649",176114,2030800,2030800,570100,"Wilford",46,"Lower Hutt City",9,"Wellington Region",39,88,"Wellington","Provided by HNZC","Double Unit",2,2,0,1983,"","","",NA,NA,"28jun2005",2005,6,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"14791",107085,519400,519400,517902,"Owairaka West",7,"Auckland City",2,"Auckland Region",7,13,"Central Auckland","Provided by HNZC","Double Unit",2,1,1,1945,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"69495",141215,2455204,2455204,586502,"Kaiapoi West",59,"Waimakariri District",13,"Canterbury Region",48,109,"Christchurch","Provided by HNZC","Single Unit",3,2,1,1975,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"74727",160010,2615100,2615100,593400,"Avonside",60,"Christchurch City",13,"Canterbury Region",48,109,"Christchurch","Provided by HNZC","Double Unit",2,1,1,1944,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"45358",137293,1434300,1434300,546600,"Marewa",31,"Napier City",6,"Hawke's Bay Region",26,60,"Napier","Provided by HNZC","Single Unit",2,2,0,1954,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"35645",128507,874900,874900,529501,"Porritt",16,"Hamilton City",3,"Waikato Region",14,30,"Hamilton","Provided by HNZC","Single Unit",2,2,0,1973,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"20193",141132,620000,620000,519400,"One Tree Hill East",7,"Auckland City",2,"Auckland Region",8,15,"Manukau","Provided by HNZC","Complex",2,2,0,1963,"","","",NA,NA,"01jun1986",1986,6,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"7199",180835,370300,370300,514700,"Blockhouse Bay",7,"Auckland City",2,"Auckland Region",7,13,"Central Auckland","Provided by HNZC","Multi Storey",1,1,0,1972,"","","",NA,NA,"28feb2003",2003,2,"Current",0,1,0,"",NA,NA,0,"",NA,1,0,""
"49361",104410,1578800,1578800,551503,"Marfell",33,"New Plymouth District",7,"Taranaki Region",28,62,"New Plymouth","Provided by HNZC","Single Unit",4,4,0,1963,"","","",NA,NA,"01jun1986",1986,6,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"24658",114009,709700,709700,523602,"Ferguson",8,"Manukau City",2,"Auckland Region",8,15,"Manukau","Provided by HNZC","Single Unit",4,4,0,1964,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
