"","id","mb06","mb01","au01","au01_desc","ta01","ta01_desc","rc01","rc01_desc","lma58_91","lma140_91","lma140_91_desc","geo_coding_quality","property_type","totalbeds","doublebeds","singlebeds","prop_cnstr_date","latest_prop_status","previous_prop_status","lastest_change_date","lastest_change_year","lastest_change_month","takeover_date","takeover_year","takeover_month","property_status","property_sold","property_current","property_destroyed","settled_date","settled_year","settled_month","sales_data_missing","sale_type","sale_price","auckland_takeover","community_sales","destroyed_date"
"46330",137883,1446500,1446500,546700,"Maraenui",31,"Napier City",6,"Hawke's Bay Region",26,60,"Napier","Provided by HNZC","Single Unit",3,3,0,1959,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"5240",184948,271900,271900,511700,"Kelston Central",6,"Waitakere City",2,"Auckland Region",7,13,"Central Auckland","Provided by HNZC","Single Unit",4,4,0,2007,"","","",NA,NA,"14nov2007",2007,11,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"45450",104808,1435100,1435100,546600,"Marewa",31,"Napier City",6,"Hawke's Bay Region",26,60,"Napier","Provided by HNZC","Single Unit",2,2,0,1991,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"27408",117015,736600,736600,524510,"Harania North",8,"Manukau City",2,"Auckland Region",8,15,"Manukau","Provided by HNZC","Single Unit",3,3,0,1974,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"44004",134733,1375600,1375600,544400,"Gisborne Airport",28,"Gisborne District",5,"Gisborne Region",24,56,"Gisborne","Provided by HNZC","Multi Unit",3,1,2,1940,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"21830",180129,647700,647700,521602,"Howick Central",8,"Manukau City",2,"Auckland Region",8,15,"Manukau","Provided by HNZC","Single Unit",4,4,0,1960,"","","",NA,NA,"12apr2002",2002,4,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"51785",144620,1724000,1724000,556200,"Gonville South",37,"Wanganui District",8,"Manawatu-Wanganui Region",33,76,"Wanganui","Provided by HNZC","Single Unit",2,2,0,1945,"","","",NA,NA,"01mar1986",1986,3,"Current",0,1,0,"",NA,NA,0,"",NA,0,0,""
"48310",136504,1508400,1508400,548830,"Te Mata",30,"Hastings District",6,"Hawke's Bay Region",25,59,"Hastings","Reliably coded through CRS, or obtained via google API and verified","Double Unit",2,1,1,1939,"Deleted","Vac Pend Set","05may1999",1999,5,"01mar1986",1986,3,"Sold",1,0,0,"23apr1999",1999,4,0,"Vacant Sale",61200,0,0,""
"63185",153681,2058600,2058600,571400,"Waitangirua",44,"Porirua City",9,"Wellington Region",40,88,"Wellington","Reliably coded through CRS, or obtained via google API and verified","Double Unit",3,3,0,1968,"Deleted","Destroyd Unt","18nov2005",2005,11,"29aug1968",1968,8,"Destroyed",0,0,1,"",NA,NA,0,"",NA,0,0,"18nov2005"
"53087",156307,1817101,1817101,562720,"Westbrook",40,"Palmerston North City",8,"Manawatu-Wanganui Region",35,81,"Palmerston North","Reliably coded through CRS, or obtained via google API and verified","Single Unit",3,2,1,1976,"Deleted","Vac Homebuy","24dec1998",1998,12,"06jul1976",1976,7,"Sold",1,0,0,"04dec1998",1998,12,0,"Homebuy Sale",80000,0,0,""
