OBJECTID,BASIC_COLOUR,BODY_TYPE,CC_RATING,CHASSIS7,FIRST_NZ_REGISTRATION_YEAR,FIRST_NZ_REGISTRATION_MONTH,GROSS_VEHICLE_MASS,HEIGHT,IMPORT_STATUS,MAKE,MODEL,MOTIVE_POWER,NUMBER_OF_AXLES,NUMBER_OF_SEATS,NZ_ASSEMBLED,ORIGINAL_COUNTRY,POWER_RATING,PREVIOUS_COUNTRY,ROAD_TRANSPORT_CODE,SUBMODEL,TLA,TRANSMISSION_TYPE,VDAM_WEIGHT,VEHICLE_TYPE,VEHICLE_USAGE,VEHICLE_YEAR
10205,GOLD,MOTORCYCLE,980,6098951,1984,5,0,0,NEW,BMW,R100RS,PETROL,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,WAIPA DISTRICT,,0,MOTORCYCLE,PRIVATE PASSENGER,1980
10206,RED,MOTORCYCLE,250,NJ41A-1,1988,6,0,0,NEW,SUZUKI,GN 2505,PETROL,0,0,UNKNOWN,JAPAN,0,NONE,,,WELLINGTON CITY,,0,MOTORCYCLE,PRIVATE PASSENGER,1988
10207,RED,DOMESTIC TRAILER,0,6737,2006,10,0,0,NEW,TRAILER,CONCRETE MIXER,,2,0,NZ ASSEMBLED/BUILT,NEW ZEALAND,0,NONE,,,WHANGAREI DISTRICT,,0,TRAILER/CARAVAN,OTHER GOODS,2006
10208,GREEN,SALOON,3984,MA23PJ9,1993,3,0,0,NEW,FORD,FALCON,PETROL,0,5,UNKNOWN,AUSTRALIA,0,NONE,,,RUAPEHU DISTRICT,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,1993
10209,GREEN,SALOON,1769,,2001,12,0,0,NEW,NISSAN,PULSAR,PETROL,0,5,IMPORTED BUILT-UP,JAPAN,92,NONE,,LS SEDAN AUTO 1.8I,SOUTHLAND DISTRICT,4-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2001
10210,BLUE,UTILITY,2953,,2008,10,3012,0,NEW,FORD,RANGER,DIESEL,2,5,IMPORTED BUILT-UP,THAILAND,115,NONE,,3.0TD XLT DC W/S4X4A,NEW PLYMOUTH DISTRICT,5-GEAR AUTO,0,GOODS VAN/TRUCK/UTILITY,PRIVATE PASSENGER,2008
10211,BLUE,HATCHBACK,1340,KMHBT51,2008,2,1345,0,USED,HYUNDAI,TB,PETROL,0,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,GL,WHAKATANE DISTRICT,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2002
10212,SILVER,SALOON,2354,,2009,7,2090,0,NEW,HONDA,ACCORD,PETROL,2,5,NZ ASSEMBLED/BUILT,JAPAN,148,NONE,,EURO L,AUCKLAND,5-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2009
10213,SILVER,BOAT TRAILER,0,,2003,9,0,0,NEW,TRAILER,HOMEBUILT,,2,0,NZ ASSEMBLED/BUILT,NEW ZEALAND,0,NONE,,,SELWYN DISTRICT,,0,TRAILER/CARAVAN,OTHER GOODS,2003
10214,BLACK,UTILITY,2982,,2009,6,2710,0,NEW,TOYOTA,HILUX,DIESEL,2,5,IMPORTED BUILT-UP,THAILAND,126,NONE,,3.0TD 2WD DC 5M,WAIMAKARIRI DISTRICT,5-GEAR MANUAL,0,GOODS VAN/TRUCK/UTILITY,PRIVATE PASSENGER,2009
