OBJECTID,BASIC_COLOUR,BODY_TYPE,CC_RATING,CHASSIS7,FIRST_NZ_REGISTRATION_YEAR,FIRST_NZ_REGISTRATION_MONTH,GROSS_VEHICLE_MASS,HEIGHT,IMPORT_STATUS,MAKE,MODEL,MOTIVE_POWER,NUMBER_OF_AXLES,NUMBER_OF_SEATS,NZ_ASSEMBLED,ORIGINAL_COUNTRY,POWER_RATING,PREVIOUS_COUNTRY,ROAD_TRANSPORT_CODE,SUBMODEL,TLA,TRANSMISSION_TYPE,VDAM_WEIGHT,VEHICLE_TYPE,VEHICLE_USAGE,VEHICLE_YEAR
6001,WHITE,STATION WAGON,2199,,2011,9,2510,0,NEW,KIA,SORENTO,DIESEL,0,7,IMPORTED BUILT-UP,SOUTH KOREA,145,NONE,,2.2 DIESEL AUTO EX,DUNEDIN CITY,6-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2011
6002,SILVER,STATION WAGON,2354,,2012,1,2270,0,NEW,HONDA,ODYSSEY,PETROL,2,7,IMPORTED BUILT-UP,JAPAN,133,NONE,,S,HAURAKI DISTRICT,5-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2012
6003,GREY,HATCHBACK,2261,,2009,4,2165,0,NEW,FORD,MONDEO,PETROL,2,5,IMPORTED BUILT-UP,BELGIUM,118,NONE,,MONDEO ZETEC 2.3 AUT,KAPITI COAST DISTRICT,6-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2009
6004,BLUE,HATCHBACK,1798,,2008,10,1805,0,NEW,TOYOTA,COROLLA,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,100,NONE,,1.8P GX HATCH 5 4A,CHRISTCHURCH CITY,4-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2008
6005,BLUE,SALOON,2990,MCV30-6,2012,4,1795,0,USED,TOYOTA,WINDOM,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,,LOWER HUTT CITY,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2005
6006,SILVER,BOAT TRAILER,0,TW008,2012,3,2000,0,NEW,TRAILER,TRAILERWORX BOAT,,2,0,NZ ASSEMBLED/BUILT,NEW ZEALAND,0,NONE,,,AUCKLAND,,0,TRAILER/CARAVAN,OTHER GOODS,2012
6007,SILVER,STATION WAGON,1990,AZT250-,2011,4,1685,0,USED,TOYOTA,AVENSIS,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,,CHRISTCHURCH CITY,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2003
6008,BLACK,STATION WAGON,1496,NCP21-0,2010,3,1325,0,USED,TOYOTA,FUNCARGO,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,,AUCKLAND,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2001
6009,WHITE,UTILITY,3199,,2012,4,3200,0,NEW,FORD,RANGER,DIESEL,2,5,IMPORTED BUILT-UP,THAILAND,147,NONE,,3.2TD XLT DC W/SA4X4,TASMAN DISTRICT,6-GEAR AUTO,0,GOODS VAN/TRUCK/UTILITY,OTHER GOODS,2012
6010,WHITE,LIGHT VAN,2351,,2011,6,2505,0,NEW,MITSUBISHI,L300,PETROL,0,3,IMPORTED BUILT-UP,JAPAN,99,NONE,,2.4P LWB 5 DOOR,CHRISTCHURCH CITY,5-GEAR MANUAL,0,GOODS VAN/TRUCK/UTILITY,PRIVATE PASSENGER,2011
6011,BLUE,HATCHBACK,1998,,2011,12,1758,0,NEW,MAZDA,MAZDA3,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,113,NONE,,HATCH GSE 2.0 6A SKY,AUCKLAND,6-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2011
6012,SILVER,HATCHBACK,1499,,2012,8,1490,0,NEW,MITSUBISHI,COLT,PETROL,0,5,IMPORTED BUILT-UP,JAPAN,78,NONE,,1.5P LS 5DR,HAMILTON CITY,CONTINUOUSLY VARIABLE,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2012
6013,WHITE,SALOON,1460,CS2A-07,2010,9,1405,0,USED,MITSUBISHI,LANCER,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,,AUCKLAND,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2005
6014,BLUE,SALOON,1598,,2012,8,1698,0,NEW,HOLDEN,BARINA,PETROL,2,5,IMPORTED BUILT-UP,SOUTH KOREA,85,NONE,,1.6 SEDAN AT,WHANGAREI DISTRICT,6-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2012
6015,GOLD,SALOON,1496,NCP12-0,2012,7,1215,0,USED,TOYOTA,PLATZ,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,,WHANGANUI DISTRICT,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2000
6016,SILVER,STATION WAGON,2359,,2011,8,2050,0,NEW,KIA,SPORTAGE,PETROL,0,5,IMPORTED BUILT-UP,SOUTH KOREA,130,NONE,,2.4 PETROL AUTO,AUCKLAND,6-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2011
6017,RED,HATCHBACK,1598,,2010,9,1550,0,NEW,HOLDEN,BARINA,PETROL,2,5,IMPORTED BUILT-UP,SOUTH KOREA,77,NONE,,5DR HATCH MANUAL,CENTRAL OTAGO DISTRICT,5-GEAR MANUAL,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2010
6018,GOLD,STATION WAGON,2362,ACR30-0,2011,9,2070,0,USED,TOYOTA,ESTIMA,PETROL,2,8,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,L X,AUCKLAND,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2001
6019,WHITE,UTILITY,2499,,2011,10,2870,0,NEW,FORD,RANGER,DIESEL,2,3,IMPORTED BUILT-UP,THAILAND,105,NONE,,2.5TD S/C W/S 4X2,CHRISTCHURCH CITY,5-GEAR MANUAL,0,GOODS VAN/TRUCK/UTILITY,PRIVATE PASSENGER,2011
6020,BLUE,SALOON,1797,,2011,9,1740,0,NEW,HYUNDAI,LANTRA,PETROL,2,5,IMPORTED BUILT-UP,SOUTH KOREA,110,NONE,,1.8 ELITE,INVERCARGILL CITY,6-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2011
6021,BLUE,SALOON,1797,,2011,7,1740,0,NEW,HYUNDAI,LANTRA,PETROL,2,5,IMPORTED BUILT-UP,SOUTH KOREA,110,NONE,,1.8 ELITE,AUCKLAND,6-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2011
6022,BLUE,HATCHBACK,1496,NZE151-,2012,9,1515,0,USED,TOYOTA,AURIS,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,,CHRISTCHURCH CITY,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2007
6023,SILVER,STATION WAGON,2970,,2011,10,2375,0,USED,BMW,X5,PETROL,2,5,IMPORTED BUILT-UP,UNITED KINGDOM,0,JAPAN,,,CHRISTCHURCH CITY,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2003
6024,RED,SALOON,1980,WVWZZZ9,2008,7,1575,0,USED,VOLKSWAGEN,BEETLE,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,,AUCKLAND,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2001
6025,GOLD,SALOON,2850,82369JH,1972,8,0,0,NEW,HOLDEN,TORANA,PETROL,0,5,UNKNOWN,NOT KNOWN,0,NONE,,,WAIKATO DISTRICT,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,1972
6026,GREEN,SALOON,1275,AA4D236,1972,5,0,0,NEW,AUSTIN,1300GT,PETROL,0,5,UNKNOWN,NOT KNOWN,0,NONE,,,THAMES-COROMANDEL DISTRICT,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,1972
6027,BLACK,UTILITY,3196,,2012,2,3200,0,NEW,MAZDA,BT-50,DIESEL,2,5,IMPORTED BUILT-UP,THAILAND,147,NONE,,2WD GSX D/C W/S 6AT,AUCKLAND,6-GEAR AUTO,0,GOODS VAN/TRUCK/UTILITY,PRIVATE PASSENGER,2012
6028,BLUE,SALOON,1998,AZT240-,2012,9,1515,0,USED,TOYOTA,ALLION,PETROL,0,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,,AUCKLAND,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2006
6029,SILVER,STATION WAGON,2199,,2011,8,2620,0,NEW,HYUNDAI,SANTA FE,DIESEL,2,5,IMPORTED BUILT-UP,SOUTH KOREA,145,NONE,,2.2R CRDI A6 5S SUV,PALMERSTON NORTH CITY,6-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2011
6030,SILVER,HATCHBACK,1499,,2011,3,1490,0,NEW,MITSUBISHI,COLT,PETROL,0,5,IMPORTED BUILT-UP,JAPAN,78,NONE,,1.5P LS 5DR HATCH A,CHRISTCHURCH CITY,CONTINUOUSLY VARIABLE,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2011
6031,BLACK,STATION WAGON,2405,,2010,9,2291,0,NEW,HOLDEN,CAPTIVA,PETROL,2,5,IMPORTED BUILT-UP,SOUTH KOREA,103,NONE,,5 2.4L AWD AT,LOWER HUTT CITY,5-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2010
6032,WHITE,UTILITY,2953,,2011,8,3032,0,NEW,FORD,RANGER,DIESEL,2,4,IMPORTED BUILT-UP,THAILAND,115,NONE,,3.0TD SUPRC W/S 4X4,INVERCARGILL CITY,5-GEAR MANUAL,0,GOODS VAN/TRUCK/UTILITY,PRIVATE PASSENGER,2011
6033,SILVER,STATION WAGON,1794,ZNE10-0,2012,9,1685,0,USED,TOYOTA,WISH,PETROL,0,7,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,,AUCKLAND,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2004
6034,SILVER,DOMESTIC TRAILER,0,1152798,2012,6,750,0,NEW,BRIFORD,7X4,,2,0,NZ ASSEMBLED/BUILT,NEW ZEALAND,0,NONE,,,CENTRAL OTAGO DISTRICT,,0,TRAILER/CARAVAN,OTHER GOODS,2012
6035,RED,HATCHBACK,1372,,2011,7,0,0,NEW,SUZUKI,SWIFT,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,70,NONE,,LTDA 1.4 5DR,NAPIER CITY,5-GEAR MANUAL,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2011
6036,BLUE,SALOON,1797,,2011,8,1740,0,NEW,HYUNDAI,LANTRA,PETROL,2,5,IMPORTED BUILT-UP,SOUTH KOREA,110,NONE,,1.8 ELITE,FAR NORTH DISTRICT,6-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2011
6037,GREEN,MOTORCYCLE,49,AF24-14,2012,9,0,0,USED,HONDA,GIORNO,PETROL,2,0,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,,AUCKLAND,,0,MOPED,PRIVATE PASSENGER,1992
6038,BLUE,STATION WAGON,2350,CW5W-51,2012,9,2005,0,USED,MITSUBISHI,OUTLANDER,PETROL,0,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,,DUNEDIN CITY,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2007
6039,GREY,HATCHBACK,1499,,2011,3,1490,0,NEW,MITSUBISHI,COLT,PETROL,0,5,IMPORTED BUILT-UP,JAPAN,78,NONE,,1.5P LS 5DR HATCH A,AUCKLAND,CONTINUOUSLY VARIABLE,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2011
6040,RED,HATCHBACK,1372,,2011,8,0,0,NEW,SUZUKI,SWIFT,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,70,NONE,,LTDA 1.4 5DR,WAIMAKARIRI DISTRICT,5-GEAR MANUAL,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2011
6041,GREEN,HATCHBACK,1490,,2010,12,1470,0,NEW,SUZUKI,SWIFT,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,75,NONE,,GLXHAS 1.5 5DR,SELWYN DISTRICT,5-GEAR MANUAL,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2010
6042,SILVER,SALOON,1798,,2009,9,1785,0,NEW,TOYOTA,COROLLA,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,100,NONE,,1.8P GX SEDAN 4 4A,WHANGAREI DISTRICT,4-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2009
6043,BLACK,SALOON,4395,,2012,8,2430,0,NEW,BMW,550I,PETROL,2,5,IMPORTED BUILT-UP,GERMANY,300,NONE,,SEDAN 8A 4DR 4.5L,AUCKLAND,8-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2012
6044,GREY,STATION WAGON,2260,LY3P-15,2012,8,2270,0,USED,MAZDA,MPV,PETROL,2,8,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,,CHRISTCHURCH CITY,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2007
6045,RED,HATCHBACK,1498,,2009,10,1484,0,NEW,MAZDA,MAZDA2,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,76,NONE,,SPORT 5 DR 1.5 4AT,AUCKLAND,4-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2009
6046,WHITE,HATCHBACK,1372,,2011,7,0,0,NEW,SUZUKI,SWIFT,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,70,NONE,,GL 1.4 5DR,WAITAKI DISTRICT,5-GEAR MANUAL,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2011
6047,WHITE,SALOON,1797,,2011,9,1740,0,NEW,HYUNDAI,LANTRA,PETROL,2,5,IMPORTED BUILT-UP,SOUTH KOREA,110,NONE,,1.8 ELITE,AUCKLAND,6-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2011
6048,RED,HATCHBACK,1372,,2011,7,0,0,NEW,SUZUKI,SWIFT,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,70,NONE,,LTDA 1.4 5DR,HOROWHENUA DISTRICT,5-GEAR MANUAL,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2011
6049,GREEN,HATCHBACK,1490,,2010,10,1470,0,NEW,SUZUKI,SWIFT,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,75,NONE,,GLXHAS 1.5 5DR,MARLBOROUGH DISTRICT,5-GEAR MANUAL,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2010
6050,SILVER,HATCHBACK,1490,,2010,9,1470,0,NEW,SUZUKI,SWIFT,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,75,NONE,,GLXHAS 1.5 5DR,GREY DISTRICT,5-GEAR MANUAL,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2010
6051,WHITE,HATCHBACK,1490,,2011,5,1470,0,NEW,SUZUKI,SWIFT,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,75,NONE,,GLXHAS 1.5 5DR,WELLINGTON CITY,5-GEAR MANUAL,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2011
6052,RED,STATION WAGON,1975,,2011,9,1880,0,NEW,HYUNDAI,I30,PETROL,2,5,IMPORTED BUILT-UP,SOUTH KOREA,105,NONE,,WAGON 2.0 ELITE A4,WHAKATANE DISTRICT,4-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2011
6053,BLUE,HATCHBACK,1598,,2010,10,1550,0,NEW,HOLDEN,BARINA,PETROL,2,5,IMPORTED BUILT-UP,SOUTH KOREA,77,NONE,,5DR HATCH MANUAL,CHRISTCHURCH CITY,5-GEAR MANUAL,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2010
6054,YELLOW,MOBILE MACHINE,5664,E7E1681,1994,10,0,0,NEW,HYSTER,H1200XL,DIESEL,0,0,UNKNOWN,UNITED STATES,0,NONE,,,AUCKLAND,,0,MOBILE MACHINE,OTHER,1994
6055,GREY,HATCHBACK,1598,,2011,2,1570,0,NEW,HOLDEN,BARINA,PETROL,2,5,IMPORTED BUILT-UP,SOUTH KOREA,77,NONE,,5DR HATCH AUTO,TASMAN DISTRICT,4-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2011
6056,BLUE,SALOON,1797,,2011,10,1740,0,NEW,HYUNDAI,LANTRA,PETROL,2,5,IMPORTED BUILT-UP,SOUTH KOREA,110,NONE,,1.8 ELITE,AUCKLAND,6-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2011
6057,BLACK,SALOON,1797,,2011,9,1740,0,NEW,HYUNDAI,LANTRA,PETROL,2,5,IMPORTED BUILT-UP,SOUTH KOREA,110,NONE,,1.8 ELITE,AUCKLAND,6-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2011
6058,BLACK,STATION WAGON,1998,,2012,4,1995,0,NEW,HYUNDAI,IX35,PETROL,2,5,IMPORTED BUILT-UP,SOUTH KOREA,122,NONE,,2.0 2WD A6,WESTERN BAY OF PLENTY DISTRICT,6-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2012
6059,SILVER,STATION WAGON,2362,,2012,7,2100,0,NEW,TOYOTA,RAV4,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,125,NONE,,2.4 4WD LTD WAGON 4A,TASMAN DISTRICT,4-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2012
6060,RED,DOMESTIC TRAILER,0,,2012,9,2498,0,NEW,TRAILER,IFOR WILLIAMS,,2,0,IMPORTED BUILT-UP,UNITED KINGDOM,0,NONE,,,ASHBURTON DISTRICT,,0,TRAILER/CARAVAN,OTHER GOODS,2012
6061,SILVER,STATION WAGON,1998,,2011,7,1995,0,NEW,HYUNDAI,IX35,PETROL,2,5,IMPORTED BUILT-UP,SOUTH KOREA,122,NONE,,2.0 2WD A6,WELLINGTON CITY,6-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2011
6062,GREY,HATCHBACK,1290,SCP90-5,2012,3,1285,0,USED,TOYOTA,VITZ,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,,AUCKLAND,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2006
6063,SILVER,STATION WAGON,1990,GYEW-40,2012,9,1685,0,USED,MAZDA,ATENZA,PETROL,0,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,,WELLINGTON CITY,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2005
6064,BLACK,HATCHBACK,1598,,2010,10,1550,0,NEW,HOLDEN,BARINA,PETROL,2,5,IMPORTED BUILT-UP,SOUTH KOREA,77,NONE,,5DR HATCH MANUAL,INVERCARGILL CITY,5-GEAR MANUAL,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2010
6065,SILVER,STATION WAGON,1998,,2011,8,2180,0,NEW,SSANGYONG,KORANDO,DIESEL,2,5,IMPORTED BUILT-UP,SOUTH KOREA,129,NONE,,4X2 AUTO DIESEL,AUCKLAND,6-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2011
6066,SILVER,HATCHBACK,1596,,2011,8,1540,0,NEW,FORD,FIESTA,PETROL,2,5,IMPORTED BUILT-UP,THAILAND,88,NONE,,5DR 1.6 A ZETEC,HAMILTON CITY,6-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2011
6067,BLACK,HATCHBACK,1596,,2011,8,1540,0,NEW,FORD,FIESTA,PETROL,2,5,IMPORTED BUILT-UP,THAILAND,88,NONE,,5DR 1.6 A ZETEC,WAIMAKARIRI DISTRICT,6-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2011
6068,BLUE,HATCHBACK,1396,,2012,1,1565,0,NEW,HYUNDAI,I20,PETROL,2,5,IMPORTED BUILT-UP,INDIA,100,NONE,,1.4 A4,WELLINGTON CITY,4-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2012
6069,BLUE,SALOON,1991,,2010,9,1506,0,NEW,HOLDEN,CRUZE,DIESEL,2,5,IMPORTED BUILT-UP,SOUTH KOREA,110,NONE,,CDX DIESEL AUTO,HAMILTON CITY,6-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2010
6070,BLUE,HATCHBACK,1490,,2010,11,1470,0,NEW,SUZUKI,SWIFT,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,75,NONE,,GLXHS 1.5 5DR,AUCKLAND,5-GEAR MANUAL,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2010
6071,BLUE,HATCHBACK,1598,,2012,3,1681,0,NEW,HOLDEN,BARINA,PETROL,2,5,IMPORTED BUILT-UP,SOUTH KOREA,85,NONE,,1.6 HATCH AT,TAURANGA CITY,6-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2012
6072,GREY,STATION WAGON,2250,RA6-105,2008,11,1995,0,USED,HONDA,ODYSSEY,PETROL,0,7,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,,AUCKLAND,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2000
6073,WHITE,STATION WAGON,1998,WHP11-2,2008,8,1635,0,USED,NISSAN,PRIMERA,PETROL,0,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,M6,WELLINGTON CITY,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,1999
6074,RED,HATCHBACK,1330,GD1-110,2009,4,1265,0,USED,HONDA,FIT,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,,AUCKLAND,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2002
6075,SILVER,HATCHBACK,1997,,2011,12,2050,0,NEW,FORD,FOCUS,DIESEL,2,5,IMPORTED BUILT-UP,GERMANY,120,NONE,,TREND 2.0 AUTO H DSL,AUCKLAND,6-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2011
6076,ORANGE,HATCHBACK,1995,,2012,7,1675,0,NEW,SUZUKI,SX4,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,107,NONE,,GLXFCB 2.0 5DR,ROTORUA DISTRICT,CONTINUOUSLY VARIABLE,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2012
6077,WHITE,STATION WAGON,2393,,2011,4,2100,0,NEW,SUZUKI,GRAND VITARA,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,122,NONE,,WJLX 2.4 5DR,INVERCARGILL CITY,5-GEAR MANUAL,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2011
6078,SILVER,STATION WAGON,4160,,2011,3,2075,0,USED,AUDI,S4,PETROL,2,5,IMPORTED BUILT-UP,GERMANY,0,JAPAN,,,HAMILTON CITY,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2005
6079,RED,SALOON,999,SCP11-0,2012,7,1145,0,USED,TOYOTA,PLATZ,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,,AUCKLAND,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2000
6080,BLACK,STATION WAGON,3605,,2012,4,2540,0,NEW,DODGE,JOURNEY,PETROL,2,7,IMPORTED BUILT-UP,OTHER,206,NONE,,3.6L PETROL AUTO R/T,WAIKATO DISTRICT,6-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2012
6081,WHITE,SALOON,1590,,2011,4,1360,0,USED,BMW,MINI,PETROL,0,4,IMPORTED BUILT-UP,GERMANY,0,JAPAN,,COOPER,PALMERSTON NORTH CITY,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2004
6082,BLACK,STATION WAGON,1490,GG2-048,2011,5,1505,0,USED,SUBARU,IMPREZA,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,,AUCKLAND,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2004
6083,BLUE,STATION WAGON,2720,,2012,9,2590,0,NEW,FORD,TERRITORY,DIESEL,2,7,IMPORTED BUILT-UP,AUSTRALIA,140,NONE,,TS RWD DIESEL,WHAKATANE DISTRICT,6-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2012
6084,WHITE,LIGHT VAN,2351,,2012,3,2305,0,NEW,MITSUBISHI,L300,PETROL,0,3,IMPORTED BUILT-UP,JAPAN,99,NONE,,2.4P SWB 4 DOOR,CHRISTCHURCH CITY,5-GEAR MANUAL,0,GOODS VAN/TRUCK/UTILITY,PRIVATE PASSENGER,2012
6085,GREEN,HATCHBACK,1240,ZFA1880,2008,12,1335,0,USED,FIAT,PUNTO,PETROL,2,5,IMPORTED BUILT-UP,FRANCE,0,JAPAN,,,WHAKATANE DISTRICT,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2002
6086,SILVER,STATION WAGON,1995,RM12-10,2011,3,1885,0,USED,NISSAN,LIBERTY,PETROL,0,7,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,,TARARUA DISTRICT,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2002
6087,BLUE,HATCHBACK,1995,,2011,3,1675,0,NEW,SUZUKI,SX4,PETROL,2,5,IMPORTED BUILT-UP,JAPAN,107,NONE,,GLXFCB2 2.0 5DR LTD,PALMERSTON NORTH CITY,CONTINUOUSLY VARIABLE,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2011
6088,BLUE,DOMESTIC TRAILER,0,,2012,8,0,0,NEW,HOMEBUILT,DOMESTIC TRAILER,,2,0,NZ ASSEMBLED/BUILT,NEW ZEALAND,0,NONE,,,TASMAN DISTRICT,,0,TRAILER/CARAVAN,OTHER GOODS,2012
6089,BROWN,UTILITY,2477,,2011,5,2930,0,NEW,MITSUBISHI,TRITON,DIESEL,0,5,IMPORTED BUILT-UP,THAILAND,133,NONE,,4WD 2.5D D/CAB GLS M,SOUTH TARANAKI DISTRICT,5-GEAR MANUAL,0,GOODS VAN/TRUCK/UTILITY,PRIVATE PASSENGER,2011
6090,BLUE,STATION WAGON,2350,RB2-305,2012,8,2065,0,USED,HONDA,ODYSSEY,PETROL,0,7,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,,DUNEDIN CITY,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2004
6091,WHITE,HATCHBACK,1340,Z25A-51,2012,3,1295,0,USED,MITSUBISHI,COLT,PETROL,0,5,IMPORTED BUILT-UP,JAPAN,0,JAPAN,,,AUCKLAND,,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2004
6092,BLUE,HATCHBACK,1998,,2011,11,1780,0,NEW,KIA,CERATO,PETROL,0,5,IMPORTED BUILT-UP,SOUTH KOREA,114,NONE,,2.0 PETROL AUTO SX,MASTERTON DISTRICT,6-GEAR AUTO,0,PASSENGER CAR/VAN,PRIVATE PASSENGER,2011
6093,SILVER,UTILITY,3199,,2012,7,3200,0,NEW,FORD,RANGER,DIESEL,2,5,IMPORTED BUILT-UP,THAILAND,147,NONE,,3.2TD XLT DC W/SA4X4,HASTINGS DISTRICT,6-GEAR AUTO,0,GOODS VAN/TRUCK/UTILITY,PRIVATE PASSENGER,2012
